"source" "target" "weight" "type"
control sale 0.0027 undirected
control administr 0.4898 undirected
control network 0.1598 undirected
control mortgag 0.1318 undirected
control insur 0.0020 undirected
control twitter 0.0297 undirected
control person 0.0439 undirected
control comput 0.0072 undirected
control internet 0.0918 undirected
control ident 0.0103 undirected
corpor rate 0.0104 undirected
corpor websit 0.0344 undirected
corpor samsung 0.0399 undirected
corpor network 0.0872 undirected
corpor servic 0.0466 undirected
corpor mortgag 0.2345 undirected
corpor internet 0.0870 undirected
countri measur 0.1456 undirected
countri compromis 0.1357 undirected
countri system 0.4832 undirected
countri femal 0.0081 undirected
countri certif 0.2042 undirected
countri passport 0.1258 undirected
countri level 0.0349 undirected
countri seri 0.1238 undirected
countri proof 0.0329 undirected
countri corpor 0.2032 undirected
countri store 0.0566 undirected
