"source" "target" "weight" "type"
"bill" "ship" 0.1017 "undirected"
"bill" "shopping" 0.0231 "undirected"
"bill" "rank" 0.0041 "undirected"
"bill" "social" 0.1222 "undirected"
"bill" "administrator" 0.1238 "undirected"
"bill" "registration" 0.0109 "undirected"
"bill" "equifax" 0.1164 "undirected"
"bill" "bureau" 0.1805 "undirected"
"bill" "personal" 0.0632 "undirected"
"bill" "computers" 0.0688 "undirected"
"bill" "identity" 0.1719 "undirected"
"bill" "credit" 0.1814 "undirected"
"bill" "employer" 0.0031 "undirected"
"bill" "student" 0.1244 "undirected"
"birth" "certification" 0.4852 "undirected"
"birth" "passport" 0.8599 "undirected"
"birth" "application" 0.1005 "undirected"
"birth" "mothers" 0.0058 "undirected"
"birth" "name" 0.5500 "undirected"
"birth" "children" 0.0246 "undirected"
"birth" "user" 0.1110 "undirected"
"birth" "secure" 0.3761 "undirected"
"birth" "accounts" 0.0016 "undirected"
"birth" "locator" 0.0654 "undirected"
"birth" "occupations" 0.0104 "undirected"
"birth" "medicare" 0.0045 "undirected"
"birth" "social" 0.3808 "undirected"
"birth" "photograph" 0.1127 "undirected"
"birth" "administrator" 0.1599 "undirected"
"birth" "insurer" 0.0487 "undirected"
"birth" "identity" 0.0383 "undirected"
"birth" "employer" 0.1024 "undirected"
"boarding" "id" 0.0254 "undirected"
"boarding" "loan" 0.0154 "undirected"
"boarding" "schools" 0.0845 "undirected"
"boarding" "ebay" 0.0913 "undirected"
"boarding" "term" 0.0874 "undirected"
"boarding" "residential" 0.0054 "undirected"
"boarding" "male" 0.0242 "undirected"
"boarding" "address" 0.0183 "undirected"
"boarding" "status" 0.0515 "undirected"
"boarding" "price" 0.0109 "undirected"
"boarding" "prescription" 0.0084 "undirected"
"boarding" "telephone" 0.7573 "undirected"
"boarding" "balance" 0.0054 "undirected"
"boarding" "public" 0.3384 "undirected"
"boarding" "linkedin" 0.0035 "undirected"
"boarding" "street" 0.0245 "undirected"
"boarding" "attorney" 0.1244 "undirected"
"boarding" "country" 0.1100 "undirected"
"boarding" "health" 0.0211 "undirected"
"boarding" "system" 0.2769 "undirected"
"boarding" "female" 0.0324 "undirected"
"boarding" "birth" 0.0032 "undirected"
"boarding" "digits" 0.0032 "undirected"
"boarding" "settings" 0.1066 "undirected"
"boarding" "certification" 0.0948 "undirected"
"boarding" "agency" 0.0026 "undirected"
"boarding" "design" 0.0145 "undirected"
"boarding" "college" 0.3342 "undirected"
"boarding" "ssn" 0.0447 "undirected"
"boarding" "business" 0.0072 "undirected"
"boarding" "store" 0.0126 "undirected"
"boarding" "speed" 0.0494 "undirected"
"boarding" "locator" 0.0017 "undirected"
"boarding" "shopping" 0.0237 "undirected"
"boarding" "rank" 0.3675 "undirected"
"boarding" "utility" 0.5533 "undirected"
"boarding" "email" 0.0315 "undirected"
"boarding" "samsung" 0.0015 "undirected"
"boarding" "administrator" 0.0899 "undirected"
"boarding" "unique" 0.1255 "undirected"
"boarding" "bureau" 0.0777 "undirected"
"boarding" "internet" 0.0097 "undirected"
"boarding" "identity" 0.0425 "undirected"
"boarding" "student" 0.0148 "undirected"
"bureau" "source" 0.0720 "undirected"
"bureau" "credit" 0.5919 "undirected"
"bureau" "employer" 0.6372 "undirected"
"bureau" "student" 0.0104 "undirected"
"business" "store" 0.0094 "undirected"
"business" "secure" 0.0233 "undirected"
"business" "accounts" 0.0431 "undirected"
"business" "locator" 0.0173 "undirected"
"business" "device" 0.0715 "undirected"
"business" "social" 0.1276 "undirected"
"business" "utility" 0.0321 "undirected"
"business" "refund" 0.1970 "undirected"
"business" "sales" 0.0688 "undirected"
"business" "network" 0.0828 "undirected"
"business" "service" 0.0197 "undirected"
"business" "institution" 0.2408 "undirected"
"business" "banking" 0.0749 "undirected"
"business" "personal" 0.0266 "undirected"
"business" "identity" 0.0400 "undirected"
"business" "employer" 0.0259 "undirected"
"card" "check" 0.0281 "undirected"
"card" "customers" 0.3458 "undirected"
"card" "stop" 0.0306 "undirected"
"card" "type" 0.0133 "undirected"
"card" "owner" 0.0907 "undirected"
"card" "signature" 0.0844 "undirected"
"card" "travel" 0.0714 "undirected"
"card" "eye" 0.0523 "undirected"
"card" "wallet" 0.1519 "undirected"
"card" "memory" 0.0006 "undirected"
"card" "purchasing" 0.0893 "undirected"
"card" "st" 0.0738 "undirected"
"card" "operating" 0.0822 "undirected"
"card" "attached" 0.1768 "undirected"
"card" "ebay" 0.0333 "undirected"
"card" "secret" 0.2920 "undirected"
"card" "mail" 0.0118 "undirected"
"card" "middle" 0.0942 "undirected"
"card" "address" 0.0343 "undirected"
"card" "number" 0.3529 "undirected"
"card" "doctors" 0.1644 "undirected"
"card" "wii" 0.0089 "undirected"
"card" "telephone" 0.0217 "undirected"
"card" "transactions" 0.3802 "undirected"
"card" "attorney" 0.0173 "undirected"
"card" "date" 0.0227 "undirected"
"card" "country" 0.0831 "undirected"
"card" "identifier" 0.0923 "undirected"
"card" "compromised" 0.0417 "undirected"
"card" "amazon" 0.2396 "undirected"
"card" "system" 0.0337 "undirected"
"card" "visa" 0.3117 "undirected"
"card" "debit" 0.3756 "undirected"
"card" "birth" 0.0008 "undirected"
"card" "group" 0.5322 "undirected"
"card" "passport" 0.0573 "undirected"
"card" "application" 0.0455 "undirected"
"card" "sign" 0.0422 "undirected"
"card" "name" 0.0715 "undirected"
"card" "pay" 0.0751 "undirected"
"card" "proof" 0.4404 "undirected"
"card" "business" 0.0636 "undirected"
"card" "store" 0.1118 "undirected"
"card" "secure" 0.0626 "undirected"
"card" "accounts" 0.1565 "undirected"
"card" "locator" 0.0702 "undirected"
"card" "device" 0.0847 "undirected"
"card" "ship" 0.1300 "undirected"
"card" "shopping" 0.0801 "undirected"
"card" "sales" 0.0274 "undirected"
"card" "unique" 0.0511 "undirected"
